Mã,Công ty,Ngành,Khối lượng NY/ĐKGD
AAA,Công ty cổ phần Nhựa An Phát Xanh,"Nhựa, cao su & sợi",382274496
AAM,Công ty Cổ phần Thủy sản Mekong,Nuôi trồng nông & hải sản,12346411
AAT,Công ty cổ phần Tiên Sơn Thanh Hoá,Hàng May mặc,70819103
ABR,Công ty Cổ phần Đầu tư Nhãn hiệu Việt,Tư vấn & Hỗ trợ KD,20000000
ABS,Công ty Cổ phần Dịch vụ Nông nghiệp Bình Thuận,Phân phối hàng chuyên dụng,80000000
ABT,Công ty Cổ phần Xuất nhập khẩu thủy sản Bến Tre,Nuôi trồng nông & hải sản,14387207
ACB,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng,3884050358
ACC,Công ty cổ phần Đầu tư và Xây dựng Bình Dương ACC,Vật liệu xây dựng & Nội thất,104999993
ACG,Công ty Cổ phần Gỗ An Cường,Lâm sản và Chế biến gỗ,150787946
ACL,Công ty Cổ phần Xuất nhập khẩu Thủy sản Cửu Long An Giang,Nuôi trồng nông & hải sản,50159019
ADG,Công ty Cổ phần Clever Group,Dịch vụ truyền thông,21380521
ADP,Công ty Cổ phần Sơn Á Đông,Vật liệu xây dựng & Nội thất,23039850
ADS,Công ty Cổ phần Damsan,Hàng May mặc,58394727
AGG,CTCP Đầu tư và Phát triển Bất động sản An Gia,Bất động sản,125118368
AGM,Công ty Cổ phần xuất nhập khẩu An Giang,Thực phẩm,18200000
AGR,Công ty Cổ phần Chứng khoán Agribank,Môi giới chứng khoán,215391309
ANV,Công ty Cổ phần Nam Việt,Nuôi trồng nông & hải sản,133539625
APC,Công ty Cổ phần Chiếu xạ An Phú,Công nghệ sinh học,20121395
APG,Công ty Cổ phần Chứng khoán APG,Môi giới chứng khoán,153621942
APH,Công ty cổ phần Tập đoàn An Phát Holdings,Containers & Đóng gói,243884268
ASG,Cổ phiếu Công ty Cổ phần Tập đoàn ASG,"Kho bãi, hậu cần và bảo dưỡng",75653891
ASM,Công ty Cổ phần Tập đoàn Sao Mai,Nuôi trồng nông & hải sản,336526752
ASP,Công ty Cổ phần Tập đoàn Dầu khí An Pha,Phân phối xăng dầu & khí đốt,37339929
AST,Công ty Cổ phần Dịch vụ Hàng không Taseco,Phân phối hàng chuyên dụng,45000000
BAF,Công ty Cổ phần Nông nghiệp BAF Việt Nam,Nuôi trồng nông & hải sản,143520000
BBC,Công ty Cổ phần Bibica,Thực phẩm,18752687
BCE,Công ty Cổ phần Xây dựng và Giao thông Bình Dương,Xây dựng,35000000
BCG,Công ty Cổ phần Bamboo Capital,Tài chính đặc biệt,533467622
BCM,Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,Bất động sản,1035000000
BFC,Công ty Cổ phần Phân bón Bình Điền,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",57167993
BHN,Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Hà Nội,Sản xuất bia,231800000
BIC,Tổng Công ty Cổ phần Bảo Hiểm Ngân hàng Đầu tư và Phát triển Việt Nam,Bảo hiểm phi nhân thọ,117276895
BID,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,Ngân hàng,5058523816
BKG,Công ty Cổ phần Đầu tư BKG Việt Nam,Hàng cá nhân,68199983
BMC,Công ty Cổ phần Khoáng sản Bình Định,Khai khoáng,12392630
BMI,Tổng Công ty Cổ phần Bảo Minh,Bảo hiểm phi nhân thọ,109623985
BMP,Công ty Cổ phần nhựa Bình Minh,Vật liệu xây dựng & Nội thất,81860938
BRC,Công ty Cổ phần Cao su Bến Thành,"Nhựa, cao su & sợi",12374997
BSI,Công ty Cổ phần Chứng khoán Ngân hàng Đầu tư và Phát triển Việt Nam,Môi giới chứng khoán,202783127
BTP,Công ty Cổ phần Nhiệt điện Bà Rịa,Sản xuất & Phân phối Điện,60485600
BTT,Công ty Cổ phần Thương mại - Dịch vụ Bến Thành,Bán lẻ phức hợp,13500000
BVH,Tập đoàn Bảo Việt,Bảo hiểm nhân thọ,742322764
BWE,Công ty Cổ phần Nước – Môi trường Bình Dương,Nước,192920000
C32,Công ty cổ phần CIC39,Vật liệu xây dựng & Nội thất,15030145
C47,Công ty Cổ phần Xây dựng 47,Xây dựng,33039061
CAV,Công ty Cổ phần dây cáp điện Việt Nam,Hàng điện & điện tử,57600000
CCI,Công ty Cổ phần Đầu tư Phát triển Công nghiệp - Thương mại Củ Chi,Phân phối xăng dầu & khí đốt,17743865
CCL,Công ty Cổ phần Đầu tư và Phát triển Đô thị Dầu khí Cửu Long,Bất động sản,59581418
CDC,Công ty Cổ phần Chương Dương,Xây dựng,21988716
CHP,Công ty Cổ phần Thủy điện miền Trung,Sản xuất & Phân phối Điện,146912668
CIG,Công ty Cổ phần COMA18,Xây dựng,31539947
CII,Công ty Cổ phần Đầu tư Hạ tầng Kỹ thuật T.P Hồ Chí Minh,Xây dựng,284019513
CKG,Công ty Cổ phần Tập đoàn Tư vấn Đầu tư & Xây dựng Kiên Giang,Bất động sản,95259361
CLC,Công ty Cổ phần Cát Lợi,Thuốc lá,26207583
CLL,Công ty Cổ phần Cảng Cát Lái,"Kho bãi, hậu cần và bảo dưỡng",34000000
CLW,Công ty Cổ phần Cấp nước Chợ Lớn,Nước,13000000
CMG,Công ty Cổ phần Tập đoàn Công nghệ CMC,Dịch vụ Máy tính,150596032
CMV,Công ty Cổ phần Thương Nghiệp Cà Mau,Bán lẻ phức hợp,18155868
CMX,Công ty cổ phần Camimex Group,Nuôi trồng nông & hải sản,101898990
CNG,Công ty Cổ phần CNG Việt Nam,Phân phối xăng dầu & khí đốt,35099625
COM,Công ty Cổ phần Vật Tư - Xăng Dầu,Phân phối hàng chuyên dụng,14120628
CRC,Công ty Cổ phần Create Capital Việt Nam,Vật liệu xây dựng & Nội thất,30000000
CRE,Công ty Cổ phần Bất động sản Thế kỷ,Bất động sản,463678534
CSM,Công ty Cổ phần Công nghiệp Cao su Miền Nam,Lốp xe,103626467
CSV,Công ty Cổ phần hóa chất cơ bản Miền Nam,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",44200000
CTD,Công ty Cổ phần Xây dựng Coteccons,Xây dựng,78830800
CTF,Công ty Cổ phần City Auto,Sản xuất ô tô,79818419
CTG,Ngân hàng Thương mại Cổ phần Công Thương Việt Nam,Ngân hàng,4805750609
CTI,Công ty Cổ phần Đầu tư Phát triển Cường Thuận IDICO,Xây dựng,62999997
CTR,Tổng công ty cổ phần công trình Viettel,Xây dựng,114385879
CTS,Công ty Cổ phần Chứng khoán Ngân hàng Công thương Việt Nam,Môi giới chứng khoán,148738311
CVT,Công ty Cổ phần CMC,Vật liệu xây dựng & Nội thất,36690887
D2D,Công ty Cổ phần Phát triển Đô thị Công nghiệp Số 2,Bất động sản,30304758
DAG,Công ty Cổ phần Tập đoàn Nhựa Đông Á,"Nhựa, cao su & sợi",60314112
